"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","AR465","M48","NRS1","P10","R50","V521"
"group_2037","","hypothetical protein","6","6","1","1","2628","","","","680","680","680","AR465_01376","M48_02020","NRS1_01946","P10_01621","R50_01946","V521_02070"
"recQ_1","","ATP-dependent DNA helicase RecQ","6","6","1","1","1543","","","","1781","1781","1781","AR465_01218","M48_00774","NRS1_00637","P10_00120","R50_00637","V521_00814"
"sarV","","HTH-type transcriptional regulator SarV","6","6","1","1","3131","","","","350","350","350","AR465_00063","M48_02505","NRS1_02189","P10_01246","R50_02189","V521_02545"
"group_204","","hypothetical protein","6","6","1","1","2674","","","","413","413","413","AR465_01418","M48_01978","NRS1_01898","P10_01663","R50_01898","V521_02028"
"rplO","","50S ribosomal protein L15","6","6","1","1","3166","","","","440","440","440","AR465_00028","M48_02471","NRS1_02154","P10_01281","R50_02154","V521_02510"
"apt","","Adenine phosphoribosyltransferase","6","6","1","1","2107","","","","518","518","518","AR465_01704","M48_01619","NRS1_01626","P10_01947","R50_01626","V521_01669"
"group_2042","","Isatin hydrolase","6","6","1","1","2743","","","","752","752","752","AR465_00851","M48_00394","NRS1_00273","P10_00463","R50_00273","V521_00432"
"carA_2","","Carbamoyl-phosphate synthase small chain","6","6","1","1","3515","","","","1100","1100","1100","AR465_02133","M48_01184","NRS1_01113","P10_02442","R50_01113","V521_01233"
"atpG","","ATP synthase gamma chain","6","6","1","1","1228","","","","866","866","866","AR465_02627","M48_02338","NRS1_02035","P10_01470","R50_02035","V521_02381"
"glyQS","","Glycine--tRNA ligase","6","6","1","1","2178","","","","1391","1391","1391","AR465_01772","M48_01550","NRS1_01559","P10_02015","R50_01559","V521_01599"
"group_2046","","hypothetical protein","6","6","1","1","2009","","","","596","596","596","AR465_01601","M48_01723","NRS1_01724","P10_01845","R50_01724","V521_01774"
"yibN","","putative protein YibN","6","6","1","1","2208","","","","386","386","386","AR465_01802","M48_01520","NRS1_01529","P10_02045","R50_01529","V521_01569"
"greA","","Transcription elongation factor GreA","6","6","1","1","2131","","","","476","476","476","AR465_01728","M48_01595","NRS1_01602","P10_01971","R50_01602","V521_01645"
"group_2049","","hypothetical protein","6","6","1","1","2169","","","","707","707","707","AR465_01763","M48_01559","NRS1_01568","P10_02006","R50_01568","V521_01608"
"yccX","","Acylphosphatase","6","6","1","1","3737","","","","269","269","269","AR465_01931","M48_01391","NRS1_01334","P10_02239","R50_01334","V521_01439"
"mntB_1","","Manganese transport system membrane protein MntB","6","6","1","1","1455","","","","836","836","836","AR465_01131","M48_00687","NRS1_00549","P10_00207","R50_00549","V521_00727"
"rsmB","","Ribosomal RNA small subunit methyltransferase B","6","6","1","1","3531","","","","1307","1307","1307","AR465_02118","M48_01199","NRS1_01128","P10_02427","R50_01128","V521_01248"
"kdpE","","KDP operon transcriptional regulatory protein KdpE","6","6","1","1","1252","","","","695","695","695","AR465_02603","M48_02315","NRS1_02012","P10_01494","R50_02012","V521_02358"
"group_2054","","hypothetical protein","6","6","1","1","2099","","","","458","458","458","AR465_01696","M48_01627","NRS1_01634","P10_01939","R50_01634","V521_01677"
"ytpA","","Phospholipase YtpA","6","6","1","1","2455","","","","827","827","827","AR465_01578","M48_01746","NRS1_01747","P10_01823","R50_01747","V521_01797"
"hfq","","RNA-binding protein Hfq","6","6","1","1","3619","","","","233","233","233","AR465_02032","M48_01285","NRS1_01214","P10_02340","R50_01214","V521_01336"
"rluB","","Ribosomal large subunit pseudouridine synthase B","6","6","1","1","2248","","","","737","737","737","AR465_01844","M48_01480","NRS1_01487","P10_02087","R50_01487","V521_01529"
"ahpC","","Alkyl hydroperoxide reductase C","6","6","1","1","591","","","","569","569","569","AR465_00876","M48_00419","NRS1_00301","P10_00438","R50_00301","V521_00458"
"trpG_1","","Anthranilate synthase component 2","6","6","1","1","1536","","","","593","593","593","AR465_01211","M48_00767","NRS1_00630","P10_00127","R50_00630","V521_00807"
"group_2060","","hypothetical protein","6","6","1","1","119","","","","281","281","281","AR465_00271","M48_02714","NRS1_02398","P10_01039","R50_02398","V521_02755"
"rpoA","","DNA-directed RNA polymerase subunit alpha","6","6","1","1","3173","","","","944","944","944","AR465_00021","M48_02464","NRS1_02147","P10_01288","R50_02147","V521_02503"
"ureA","","Urease subunit gamma","6","6","1","1","3111","","","","302","302","302","AR465_00083","M48_02525","NRS1_02209","P10_01226","R50_02209","V521_02565"
"group_2063","","hypothetical protein","6","6","1","1","3411","","","","275","275","275","AR465_02238","M48_01081","NRS1_01010","P10_02547","R50_01010","V521_01128"
"group_2064","","hypothetical protein","6","6","1","1","1580","","","","236","236","236","AR465_01254","M48_00811","NRS1_00673","P10_00084","R50_00673","V521_00850"
"atpD","","ATP synthase subunit beta","6","6","1","1","1229","","","","1412","1412","1412","AR465_02626","M48_02337","NRS1_02034","P10_01471","R50_02034","V521_02380"
"queF","","NADPH-dependent 7-cyano-7-deazaguanine reductase","6","6","1","1","1550","","","","500","500","500","AR465_01225","M48_00781","NRS1_00644","P10_00113","R50_00644","V521_00821"
"ftsA","","Cell division protein FtsA","6","6","1","1","3497","","","","1412","1412","1412","AR465_02150","M48_01166","NRS1_01096","P10_02459","R50_01096","V521_01215"
"glnR","","HTH-type transcriptional regulator GlnR","6","6","1","1","3624","","","","368","368","368","AR465_02028","M48_01289","NRS1_01218","P10_02336","R50_01218","V521_01340"
"qoxD","","Quinol oxidase subunit 4","6","6","1","1","3371","","","","290","290","290","AR465_02278","M48_01043","NRS1_00971","P10_02587","R50_00971","V521_01089"
"group_207","","hypothetical protein","6","6","1","1","2528","","","","641","788","739","AR465_01525","M48_01812","NRS1_01792","P10_01770","R50_01792","V521_01863"
"rplM","","50S ribosomal protein L13","6","6","1","1","3179","","","","437","437","437","AR465_00015","M48_02458","NRS1_02141","P10_01294","R50_02141","V521_02497"
"group_2071","","hypothetical protein","6","6","1","1","3332","","","","251","251","251","AR465_02316","M48_01003","NRS1_00933","P10_02625","R50_00933","V521_01048"
"pta","","Phosphate acetyltransferase","6","6","1","1","386","","","","986","986","986","AR465_01088","M48_00635","NRS1_00501","P10_00250","R50_00501","V521_00675"
"mazF","","Endoribonuclease MazF","6","6","1","1","1263","","","","362","362","362","AR465_02592","M48_02304","NRS1_02001","P10_01505","R50_02001","V521_02347"
"group_2074","","hypothetical protein","6","6","1","1","3505","","","","617","617","617","AR465_02143","M48_01174","NRS1_01103","P10_02452","R50_01103","V521_01223"
"azo1","","FMN-dependent NADPH-azoreductase","6","6","1","1","414","","","","566","566","566","AR465_01061","M48_00608","NRS1_00474","P10_00277","R50_00474","V521_00646"
"cdaR","","CdaA regulatory protein CdaR","6","6","1","1","1171","","","","932","932","932","AR465_02680","M48_02396","NRS1_02089","P10_01416","R50_02089","V521_02436"
"group_2077","","putative tautomerase","6","6","1","1","3683","","","","188","188","188","AR465_01971","M48_01352","NRS1_01278","P10_02279","R50_01278","V521_01399"
"group_2078","","hypothetical protein","6","6","1","1","3038","","","","1055","1055","1055","AR465_00154","M48_02598","NRS1_02281","P10_01155","R50_02281","V521_02637"
"prs","","Ribose-phosphate pyrophosphokinase","6","6","1","1","474","","","","965","965","965","AR465_00992","M48_00539","NRS1_00406","P10_00346","R50_00406","V521_00577"
"group_208","","hypothetical protein","6","6","1","1","2527","","","","98","455","257","AR465_01526","M48_01811","NRS1_01791","P10_01771","R50_01791","V521_01862"
"ugpQ","","Glycerophosphodiester phosphodiesterase, cytoplasmic","6","6","1","1","1030","","","","743","743","743","AR465_00543","M48_00031","NRS1_02662","P10_00770","R50_02662","V521_00072"
"rplGB","","Ribosome-associated protein L7Ae-like protein","6","6","1","1","430","","","","254","254","254","AR465_01045","M48_00592","NRS1_00458","P10_00293","R50_00458","V521_00630"
"group_2082","","Antibacterial protein 3","6","6","1","1","3485","","","","134","134","134","AR465_02162","M48_01154","NRS1_01084","P10_02471","R50_01084","V521_01203"
"group_2083","","hypothetical protein","6","6","1","1","3475","","","","197","197","197","AR465_02173","M48_01143","NRS1_01073","P10_02482","R50_01073","V521_01192"
"tadA_2","","tRNA-specific adenosine deaminase","6","6","1","1","2155","","","","431","431","431","AR465_01749","M48_01573","NRS1_01582","P10_01992","R50_01582","V521_01622"
"rsbW","","Serine-protein kinase RsbW","6","6","1","1","1266","","","","479","479","479","AR465_02589","M48_02301","NRS1_01998","P10_01508","R50_01998","V521_02344"
"folB","","Dihydroneopterin aldolase","6","6","1","1","459","","","","365","365","365","AR465_01007","M48_00554","NRS1_00421","P10_00331","R50_00421","V521_00592"
"dhaK","","PTS-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit DhaK","6","6","1","1","1472","","","","968","968","968","AR465_01148","M48_00704","NRS1_00566","P10_00190","R50_00566","V521_00744"
"pstB3","","Phosphate import ATP-binding protein PstB 3","6","6","1","1","3754","","","","851","851","851","AR465_01948","M48_01374","NRS1_01317","P10_02256","R50_01317","V521_01422"
"opuCD","","Carnitine transport permease protein OpuCD","6","6","1","1","81","","","","695","695","695","AR465_00238","M48_02682","NRS1_02364","P10_01072","R50_02364","V521_02723"
"baiN","","putative protein","6","6","1","1","1996","","","","254","1268","1099","AR465_01587","M48_01736","NRS1_01737","P10_01832","R50_01737","V521_01787"
"group_2090","","hypothetical protein","6","6","1","1","497","","","","524","524","524","AR465_00969","M48_00516","NRS1_00383","P10_00369","R50_00383","V521_00554"
"group_2091","","hypothetical protein","6","6","1","1","3631","","","","251","251","251","AR465_02021","M48_01296","NRS1_01225","P10_02329","R50_01225","V521_01347"
"rplF","","50S ribosomal protein L6","6","6","1","1","3162","","","","536","536","536","AR465_00032","M48_02475","NRS1_02158","P10_01277","R50_02158","V521_02514"
"hlgA","","Gamma-hemolysin component A","6","6","1","1","56","","","","965","965","965","AR465_00213","M48_02657","NRS1_02339","P10_01097","R50_02339","V521_02697"
"tgt","","Queuine tRNA-ribosyltransferase","6","6","1","1","2103","","","","1139","1139","1139","AR465_01700","M48_01623","NRS1_01630","P10_01943","R50_01630","V521_01673"
"group_2095","","Alkaline shock protein 23","6","6","1","1","2978","","","","509","509","509","AR465_02706","M48_02426","NRS1_02114","P10_01391","R50_02114","V521_02465"
"tpiA","","Triosephosphate isomerase","6","6","1","1","1598","","","","761","761","761","AR465_01273","M48_00829","NRS1_00691","P10_00066","R50_00691","V521_00868"
"ctsR","","Transcriptional regulator CtsR","6","6","1","1","452","","","","470","470","470","AR465_01023","M48_00570","NRS1_00436","P10_00315","R50_00436","V521_00608"
"pdhB","","Pyruvate dehydrogenase E1 component subunit beta","6","6","1","1","3408","","","","977","977","977","AR465_02241","M48_01078","NRS1_01007","P10_02550","R50_01007","V521_01125"
"group_2099","","hypothetical protein","6","6","1","1","3393","","","","134","134","134","AR465_02256","M48_01063","NRS1_00992","P10_02565","R50_00992","V521_01110"
"gatB_2","","Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B","6","6","1","1","2665","","","","1427","1427","1427","AR465_01409","M48_01987","NRS1_01907","P10_01654","R50_01907","V521_02037"
"ribU","","Riboflavin transporter RibU","6","6","1","1","1973","","","","545","545","545","AR465_01853","M48_01471","NRS1_01411","P10_02162","R50_01411","V521_01519"
"group_2102","","hypothetical protein","6","6","1","1","3467","","","","506","506","506","AR465_02182","M48_01137","NRS1_01066","P10_02491","R50_01066","V521_01184"
"rpoZ","","DNA-directed RNA polymerase subunit omega","6","6","1","1","3523","","","","218","218","218","AR465_02125","M48_01192","NRS1_01121","P10_02434","R50_01121","V521_01241"
"group_2104","","hypothetical protein","6","6","1","1","1568","","","","1070","1070","1070","AR465_01243","M48_00799","NRS1_00662","P10_00095","R50_00662","V521_00839"
"lrgB","","Antiholin-like protein LrgB","6","6","1","1","2881","","","","701","701","701","AR465_00761","M48_00230","NRS1_00183","P10_00552","R50_00183","V521_00271"
"group_2106","","hypothetical protein","6","6","1","1","72","","","","656","656","656","AR465_00229","M48_02673","NRS1_02355","P10_01081","R50_02355","V521_02713"
"rihB","","Pyrimidine-specific ribonucleoside hydrolase RihB","6","6","1","1","3115","","","","941","941","941","AR465_00079","M48_02521","NRS1_02205","P10_01230","R50_02205","V521_02561"
"cidA","","Holin-like protein CidA","6","6","1","1","190","","","","395","395","395","AR465_00334","M48_02774","NRS1_02460","P10_00978","R50_02460","V521_02812"
"group_2109","","hypothetical protein","6","6","1","1","2963","","","","686","686","686","AR465_02694","M48_02411","NRS1_02102","P10_01403","R50_02102","V521_02450"
"gabR","","HTH-type transcriptional regulatory protein GabR","6","6","1","1","456","","","","1382","1382","1382","AR465_01019","M48_00566","NRS1_00432","P10_00319","R50_00432","V521_00604"
"mscL","","Large-conductance mechanosensitive channel","6","6","1","1","3669","","","","362","362","362","AR465_01985","M48_01338","NRS1_01264","P10_02293","R50_01264","V521_01384"
"mrpB","","Na(+)/H(+) antiporter subunit B","6","6","1","1","1447","","","","425","425","425","AR465_01122","M48_00679","NRS1_00541","P10_00216","R50_00541","V521_00719"
"xerD_4","","Tyrosine recombinase XerD","6","6","1","1","2244","","","","887","887","887","AR465_01840","M48_01484","NRS1_01491","P10_02083","R50_01491","V521_01533"
"ureE","","Urease accessory protein UreE","6","6","1","1","3108","","","","452","452","452","AR465_00086","M48_02528","NRS1_02212","P10_01223","R50_02212","V521_02568"
"tadA_1","","tRNA-specific adenosine deaminase","6","6","1","1","416","","","","470","470","470","AR465_01059","M48_00606","NRS1_00472","P10_00279","R50_00472","V521_00644"
"murQ","","N-acetylmuramic acid 6-phosphate etherase","6","6","1","1","2801","","","","896","896","896","AR465_00688","M48_00164","NRS1_00118","P10_00624","R50_00118","V521_00207"
"cls_2","","Cardiolipin synthase","6","6","1","1","1243","","","","1484","1484","1484","AR465_02612","M48_02323","NRS1_02020","P10_01485","R50_02020","V521_02366"
"sepA","","Multidrug resistance efflux pump SepA","6","6","1","1","2960","","","","467","467","467","AR465_02691","M48_02409","NRS1_02100","P10_01405","R50_02100","V521_02448"
"group_2119","","hypothetical protein","6","6","1","1","3472","","","","233","233","233","AR465_02177","M48_01141","NRS1_01070","P10_02486","R50_01070","V521_01188"
"accC","","Biotin carboxylase","6","6","1","1","2135","","","","575","1361","1230","AR465_01732","M48_01591","NRS1_01598","P10_01975","R50_01598","V521_01641"
"queC","","7-cyano-7-deazaguanine synthase","6","6","1","1","1535","","","","668","668","668","AR465_01210","M48_00766","NRS1_00629","P10_00128","R50_00629","V521_00806"
"group_2121","","hypothetical protein","6","6","1","1","2096","","","","320","320","320","AR465_01693","M48_01630","NRS1_01637","P10_01936","R50_01637","V521_01680"
"group_2122","","hypothetical protein","6","6","1","1","2023","","","","1274","1274","1274","AR465_01615","M48_01709","NRS1_01710","P10_01860","R50_01710","V521_01760"
"xseB","","Exodeoxyribonuclease 7 small subunit","6","6","1","1","2219","","","","230","230","230","AR465_01813","M48_01509","NRS1_01518","P10_02056","R50_01518","V521_01558"
"mnhE1","","Na(+)/H(+) antiporter subunit E1","6","6","1","1","3261","","","","479","479","479","AR465_02385","M48_00933","NRS1_00863","P10_02694","R50_00863","V521_00977"
"rplQ","","50S ribosomal protein L17","6","6","1","1","3174","","","","368","368","368","AR465_00020","M48_02463","NRS1_02146","P10_01289","R50_02146","V521_02502"
"group_2126","","hypothetical protein","6","6","1","1","1530","","","","473","473","473","AR465_01205","M48_00761","NRS1_00624","P10_00133","R50_00624","V521_00801"
"group_2127","","hypothetical protein","6","6","1","1","2008","","","","857","857","857","AR465_01600","M48_01724","NRS1_01725","P10_01844","R50_01725","V521_01775"
"nucH","","Thermonuclease","6","6","1","1","3646","","","","533","533","533","AR465_02008","M48_01315","NRS1_01241","P10_02317","R50_01241","V521_01361"
"oppB","","Oligopeptide transport system permease protein OppB","6","6","1","1","3299","","","","926","926","926","AR465_02348","M48_00970","NRS1_00901","P10_02657","R50_00901","V521_01015"
"group_213","","hypothetical protein","6","6","1","1","2141","","","","995","1220","1145","AR465_01735","M48_01588","NRS1_01595","P10_01978","R50_01595","V521_01637"
"group_2130","","hypothetical protein","6","6","1","1","390","","","","1484","1484","1484","AR465_01084","M48_00631","NRS1_00497","P10_00254","R50_00497","V521_00671"
"opuCB","","Carnitine transport permease protein OpuCB","6","6","1","1","83","","","","635","635","635","AR465_00240","M48_02684","NRS1_02366","P10_01070","R50_02366","V521_02725"
"rplGA","","putative ribosomal protein YlxQ","6","6","1","1","3583","","","","317","317","317","AR465_02067","M48_01250","NRS1_01179","P10_02375","R50_01179","V521_01300"
"arcR","","HTH-type transcriptional regulator ArcR","6","6","1","1","241","","","","704","704","704","AR465_00425","M48_02888","NRS1_02549","P10_00886","R50_02549","V521_02923"
"group_2134","","hypothetical protein","6","6","1","1","3736","","","","623","623","623","AR465_01930","M48_01392","NRS1_01335","P10_02238","R50_01335","V521_01440"
"group_2135","","hypothetical protein","6","6","1","1","1686","","","","185","185","185","AR465_02418","M48_01897","NRS1_00833","P10_02725","R50_00833","V521_01948"
"mntA","","Manganese-binding lipoprotein MntA","6","6","1","1","1454","","","","929","929","929","AR465_01130","M48_00686","NRS1_00548","P10_00208","R50_00548","V521_00726"
"group_2137","","hypothetical protein","6","6","1","1","3628","","","","206","206","206","AR465_02024","M48_01293","NRS1_01222","P10_02332","R50_01222","V521_01344"
"tatAy","","Sec-independent protein translocase protein TatAy","6","6","1","1","2751","","","","215","215","215","AR465_00843","M48_00386","NRS1_00265","P10_00471","R50_00265","V521_00424"
"pyrP","","Uracil permease","6","6","1","1","3512","","","","1307","1307","1307","AR465_02136","M48_01181","NRS1_01110","P10_02445","R50_01110","V521_01230"
"moaD","","Molybdopterin synthase sulfur carrier subunit","6","6","1","1","3128","","","","233","233","233","AR465_00066","M48_02508","NRS1_02192","P10_01243","R50_02192","V521_02548"
"rimM","","Ribosome maturation factor RimM","6","6","1","1","3553","","","","503","503","503","AR465_02096","M48_01221","NRS1_01150","P10_02405","R50_01150","V521_01270"
"galK","","Galactokinase","6","6","1","1","384","","","","920","920","920","AR465_01090","M48_00637","NRS1_00503","P10_00248","R50_00503","V521_00677"
"group_2143","","hypothetical protein","6","6","1","1","2967","","","","1370","1370","1370","AR465_02698","M48_02415","NRS1_02106","P10_01399","R50_02106","V521_02454"
"recF_1","","DNA replication and repair protein RecF","6","6","1","1","771","","","","1112","1112","1112","AR465_00510","M48_00004","NRS1_02636","P10_00802","R50_02636","V521_00004"
"upp","","Uracil phosphoribosyltransferase","6","6","1","1","1220","","","","629","629","629","AR465_02635","M48_02346","NRS1_02043","P10_01462","R50_02043","V521_02389"
"group_2146","","hypothetical protein","6","6","1","1","52","","","","104","104","104","AR465_00209","M48_02653","NRS1_02335","P10_01101","R50_02335","V521_02693"
"tcaR","","HTH-type transcriptional regulator TcaR","6","6","1","1","3042","","","","455","455","455","AR465_00151","M48_02593","NRS1_02278","P10_01158","R50_02278","V521_02633"
"group_2148","","hypothetical protein","6","6","1","1","2625","","","","176","176","176","AR465_01373","M48_02023","NRS1_01949","P10_01618","R50_01949","V521_02073"
"group_2149","","putative protein","6","6","1","1","3281","","","","902","902","902","AR465_02365","M48_00953","NRS1_00883","P10_02674","R50_00883","V521_00997"
"group_215","","hypothetical protein","6","6","1","1","2203","","","","374","374","374","AR465_01797","M48_01525","NRS1_01534","P10_02040","R50_01534","V521_01574"
"secG","","putative protein-export membrane protein SecG","6","6","1","1","1602","","","","233","233","233","AR465_01277","M48_00833","NRS1_00695","P10_00062","R50_00695","V521_00872"
"fpgS","","Folylpolyglutamate synthase","6","6","1","1","2086","","","","1271","1271","1271","AR465_01679","M48_01645","NRS1_01645","P10_01922","R50_01645","V521_01695"
"yhaM","","3'-5' exoribonuclease YhaM","6","6","1","1","2550","","","","941","941","941","AR465_01495","M48_01832","NRS1_01821","P10_01740","R50_01821","V521_01883"
"rpmG2_2","","50S ribosomal protein L33 2","6","6","1","1","2192","","","","149","149","149","AR465_01786","M48_01536","NRS1_01545","P10_02029","R50_01545","V521_01585"
"group_2154","","Putative threonylcarbamoyl-AMP synthase","6","6","1","1","3291","","","","641","641","641","AR465_02356","M48_00962","NRS1_00893","P10_02665","R50_00893","V521_01006"
"sarA","","Transcriptional regulator SarA","6","6","1","1","1441","","","","374","374","374","AR465_01116","M48_00673","NRS1_00535","P10_00222","R50_00535","V521_00713"
"group_2156","","hypothetical protein","6","6","1","1","3721","","","","509","509","509","AR465_01916","M48_01408","NRS1_01348","P10_02225","R50_01348","V521_01456"
"group_2157","","putative protein","6","6","1","1","3539","","","","374","374","374","AR465_02110","M48_01207","NRS1_01136","P10_02419","R50_01136","V521_01256"
"rnpA","","Ribonuclease P protein component","6","6","1","1","766","","","","347","347","347","AR465_00505","M48_02975","NRS1_02631","P10_00807","R50_02631","V521_03008"
"group_2159","","hypothetical protein","6","6","1","1","1468","","","","833","833","833","AR465_01144","M48_00700","NRS1_00562","P10_00194","R50_00562","V521_00740"
"tdcB","","L-threonine dehydratase catabolic TdcB","6","6","1","1","1918","","","","1040","1040","1040","AR465_01898","M48_01426","NRS1_01366","P10_02207","R50_01366","V521_01474"
"group_2160","","hypothetical protein","6","6","1","1","3016","","","","356","356","356","AR465_00176","M48_02619","NRS1_02302","P10_01134","R50_02302","V521_02658"
"rpsP","","30S ribosomal protein S16","6","6","1","1","3552","","","","275","275","275","AR465_02097","M48_01220","NRS1_01149","P10_02406","R50_01149","V521_01269"
"rpmJ","","50S ribosomal protein L36","6","6","1","1","3170","","","","113","113","113","AR465_00024","M48_02467","NRS1_02150","P10_01285","R50_02150","V521_02506"
"prfB","","Peptide chain release factor 2","6","6","1","1","1577","","","","992","992","992","AR465_01251","M48_00808","NRS1_00670","P10_00087","R50_00670","V521_00847"
"group_2164","","hypothetical protein","6","6","1","1","1276","","","","254","254","254","AR465_02577","M48_02289","NRS1_01986","P10_01520","R50_01986","V521_02332"
"lrgA","","Antiholin-like protein LrgA","6","6","1","1","2880","","","","437","437","437","AR465_00760","M48_00229","NRS1_00182","P10_00553","R50_00182","V521_00270"
"group_2166","","hypothetical protein","6","6","1","1","1562","","","","878","878","878","AR465_01237","M48_00793","NRS1_00656","P10_00101","R50_00656","V521_00833"
"group_2167","","hypothetical protein","6","6","1","1","2678","","","","701","701","701","AR465_01422","M48_01974","NRS1_01894","P10_01667","R50_01894","V521_02024"
"accD","","Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta","6","6","1","1","2050","","","","857","857","857","AR465_01642","M48_01683","NRS1_01682","P10_01886","R50_01682","V521_01733"
"group_2169","","hypothetical protein","6","6","1","1","3740","","","","401","401","401","AR465_01934","M48_01388","NRS1_01331","P10_02242","R50_01331","V521_01436"
"group_2170","","hypothetical protein","6","6","1","1","1601","","","","458","458","458","AR465_01276","M48_00832","NRS1_00694","P10_00063","R50_00694","V521_00871"
"rpmI","","50S ribosomal protein L35","6","6","1","1","2070","","","","200","200","200","AR465_01663","M48_01661","NRS1_01661","P10_01906","R50_01661","V521_01711"
"group_2172","","hypothetical protein","6","6","1","1","178","","","","170","170","170","AR465_00322","M48_02762","NRS1_02448","P10_00990","R50_02448","V521_02800"
"yajC","","Sec translocon accessory complex subunit YajC","6","6","1","1","2104","","","","260","260","260","AR465_01701","M48_01622","NRS1_01629","P10_01944","R50_01629","V521_01672"
"group_2174","","hypothetical protein","6","6","1","1","2012","","","","491","491","491","AR465_01604","M48_01720","NRS1_01721","P10_01848","R50_01721","V521_01771"
"umuC","","Protein UmuC","6","6","1","1","3684","","","","1262","1262","1262","AR465_01970","M48_01353","NRS1_01279","P10_02278","R50_01279","V521_01400"
"ydcV","","Inner membrane ABC transporter permease protein YdcV","6","6","1","1","3415","","","","809","809","809","AR465_02234","M48_01085","NRS1_01014","P10_02543","R50_01014","V521_01132"
"mgsR","","Regulatory protein MgsR","6","6","1","1","1649","","","","356","356","356","AR465_02505","M48_00865","NRS1_00746","P10_00033","R50_00746","V521_00903"
"ybbH_3","","putative HTH-type transcriptional regulator YbbH","6","6","1","1","3084","","","","872","872","872","AR465_00110","M48_02552","NRS1_02236","P10_01199","R50_02236","V521_02592"
"hchA","","Protein/nucleic acid deglycase HchA","6","6","1","1","423","","","","878","878","878","AR465_01052","M48_00599","NRS1_00465","P10_00286","R50_00465","V521_00637"
"rutB","","Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB","6","6","1","1","2645","","","","560","560","560","AR465_01389","M48_02007","NRS1_01927","P10_01634","R50_01927","V521_02057"
"group_2185","","hypothetical protein","6","6","1","1","3432","","","","434","434","434","AR465_02217","M48_01102","NRS1_01031","P10_02526","R50_01031","V521_01149"
"rpmF","","50S ribosomal protein L32","6","6","1","1","3440","","","","173","173","173","AR465_02209","M48_01110","NRS1_01039","P10_02518","R50_01039","V521_01157"
"ddl","","D-alanine--D-alanine ligase","6","6","1","1","1248","","","","1070","1070","1070","AR465_02607","M48_02318","NRS1_02015","P10_01490","R50_02015","V521_02361"
"group_2188","","hypothetical protein","6","6","1","1","2576","","","","542","542","542","AR465_01441","M48_01887","NRS1_01875","P10_01686","R50_01875","V521_01938"
"sepF","","Cell division protein SepF","6","6","1","1","3501","","","","563","563","563","AR465_02146","M48_01170","NRS1_01100","P10_02455","R50_01100","V521_01219"
"guaC","","GMP reductase","6","6","1","1","3659","","","","824","977","951","AR465_01995","M48_01328","NRS1_01254","P10_02304","R50_01254","V521_01374"
"ybeY","","Endoribonuclease YbeY","6","6","1","1","2173","","","","467","467","467","AR465_01767","M48_01555","NRS1_01564","P10_02010","R50_01564","V521_01604"
"group_2191","","hypothetical protein","6","6","1","1","2227","","","","437","437","437","AR465_01822","M48_01501","NRS1_01510","P10_02065","R50_01510","V521_01550"
"yjlD","","NADH dehydrogenase-like protein YjlD","6","6","1","1","3251","","","","1064","1064","1064","AR465_02395","M48_00923","NRS1_00853","P10_02704","R50_00853","V521_00967"
"tarD","","Glycerol-3-phosphate cytidylyltransferase","6","6","1","1","1464","","","","398","398","398","AR465_01140","M48_00696","NRS1_00558","P10_00198","R50_00558","V521_00736"
"odh","","Opine dehydrogenase","6","6","1","1","3098","","","","1082","1082","1082","AR465_00096","M48_02538","NRS1_02222","P10_01213","R50_02222","V521_02578"
"group_2195","","hypothetical protein","6","6","1","1","2399","","","","407","407","407","AR465_01354","M48_02043","NRS1_01432","P10_01598","R50_01432","V521_02093"
"hisS","","Histidine--tRNA ligase","6","6","1","1","2111","","","","1262","1262","1262","AR465_01708","M48_01615","NRS1_01622","P10_01951","R50_01622","V521_01665"
"pyrR","","Bifunctional protein PyrR","6","6","1","1","3511","","","","527","527","527","AR465_02137","M48_01180","NRS1_01109","P10_02446","R50_01109","V521_01229"
"cdaA","","Cyclic di-AMP synthase CdaA","6","6","1","1","1170","","","","809","809","809","AR465_02681","M48_02397","NRS1_02090","P10_01415","R50_02090","V521_02437"
"tagU_2","","Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU","6","6","1","1","3089","","","","947","947","947","AR465_00105","M48_02547","NRS1_02231","P10_01204","R50_02231","V521_02587"
"czrA","","HTH-type transcriptional repressor CzrA","6","6","1","1","1185","","","","320","320","320","AR465_02668","M48_02381","NRS1_02077","P10_01429","R50_02077","V521_02422"
"coaD","","Phosphopantetheine adenylyltransferase","6","6","1","1","3437","","","","482","482","482","AR465_02212","M48_01107","NRS1_01036","P10_02521","R50_01036","V521_01154"
"group_2202","","hypothetical protein","6","6","1","1","3239","","","","383","383","383","AR465_02408","M48_00911","NRS1_00841","P10_02717","R50_00841","V521_00955"
"miaA","","tRNA dimethylallyltransferase","6","6","1","1","3618","","","","935","935","935","AR465_02033","M48_01284","NRS1_01213","P10_02341","R50_01213","V521_01335"
